-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_LW_DWN
-18.5,-63.5,2024,322,33.89
-18.5,-62.5,2024,322,37.01
-17.5,-63.5,2024,322,37.2
-17.5,-62.5,2024,322,36.86
-16.5,-63.5,2024,322,37.4
-16.5,-62.5,2024,322,36.56
-18.5,-63.5,2024,323,34.95
-18.5,-62.5,2024,323,38.17
-17.5,-63.5,2024,323,37.32
-17.5,-62.5,2024,323,37.67
-16.5,-63.5,2024,323,37.27
-16.5,-62.5,2024,323,36.21
-18.5,-63.5,2024,324,34.65
-18.5,-62.5,2024,324,37.37
-17.5,-63.5,2024,324,36.71
-17.5,-62.5,2024,324,37.27
-16.5,-63.5,2024,324,36.5
-16.5,-62.5,2024,324,36.85
-18.5,-63.5,2024,325,35.62
-18.5,-62.5,2024,325,38.02
-17.5,-63.5,2024,325,37.64
-17.5,-62.5,2024,325,37.86
-16.5,-63.5,2024,325,37.04
-16.5,-62.5,2024,325,36.89
-18.5,-63.5,2024,326,34.99
-18.5,-62.5,2024,326,37.83
-17.5,-63.5,2024,326,36.79
-17.5,-62.5,2024,326,37.55
-16.5,-63.5,2024,326,37.27
-16.5,-62.5,2024,326,36.73
-18.5,-63.5,2024,327,34.51
-18.5,-62.5,2024,327,37.31
-17.5,-63.5,2024,327,36.39
-17.5,-62.5,2024,327,36.83
-16.5,-63.5,2024,327,36.52
-16.5,-62.5,2024,327,36.05
-18.5,-63.5,2024,328,34.93
-18.5,-62.5,2024,328,37.58
-17.5,-63.5,2024,328,37.03
-17.5,-62.5,2024,328,37.14
-16.5,-63.5,2024,328,36.92
-16.5,-62.5,2024,328,36.45
-18.5,-63.5,2024,329,33.49
-18.5,-62.5,2024,329,36.46
-17.5,-63.5,2024,329,36.39
-17.5,-62.5,2024,329,36.53
-16.5,-63.5,2024,329,36.96
-16.5,-62.5,2024,329,36.47
-18.5,-63.5,2024,330,34.53
-18.5,-62.5,2024,330,36.96
-17.5,-63.5,2024,330,36.63
-17.5,-62.5,2024,330,36.73
-16.5,-63.5,2024,330,36.51
-16.5,-62.5,2024,330,36.22
-18.5,-63.5,2024,331,34.99
-18.5,-62.5,2024,331,37.29
-17.5,-63.5,2024,331,37.78
-17.5,-62.5,2024,331,37.14
-16.5,-63.5,2024,331,37.2
-16.5,-62.5,2024,331,36.38
-18.5,-63.5,2024,332,34.89
-18.5,-62.5,2024,332,37.6
-17.5,-63.5,2024,332,37.46
-17.5,-62.5,2024,332,37.28
-16.5,-63.5,2024,332,37.25
-16.5,-62.5,2024,332,36.59
-18.5,-63.5,2024,333,34.4
-18.5,-62.5,2024,333,37.44
-17.5,-63.5,2024,333,37.71
-17.5,-62.5,2024,333,37.43
-16.5,-63.5,2024,333,37.17
-16.5,-62.5,2024,333,36.64
-18.5,-63.5,2024,334,34.93
-18.5,-62.5,2024,334,37.34
-17.5,-63.5,2024,334,36.84
-17.5,-62.5,2024,334,37.09
-16.5,-63.5,2024,334,36.93
-16.5,-62.5,2024,334,36.44
-18.5,-63.5,2024,335,35.36
-18.5,-62.5,2024,335,37.38
-17.5,-63.5,2024,335,37.1
-17.5,-62.5,2024,335,36.82
-16.5,-63.5,2024,335,36.88
-16.5,-62.5,2024,335,36.47
-18.5,-63.5,2024,336,34.34
-18.5,-62.5,2024,336,37.79
-17.5,-63.5,2024,336,37.73
-17.5,-62.5,2024,336,37.66
-16.5,-63.5,2024,336,37.42
-16.5,-62.5,2024,336,36.83
-18.5,-63.5,2024,337,35.14
-18.5,-62.5,2024,337,37.57
-17.5,-63.5,2024,337,38.09
-17.5,-62.5,2024,337,38.03
-16.5,-63.5,2024,337,38.09
-16.5,-62.5,2024,337,37.26
-18.5,-63.5,2024,338,34.0
-18.5,-62.5,2024,338,35.17
-17.5,-63.5,2024,338,36.56
-17.5,-62.5,2024,338,36.12
-16.5,-63.5,2024,338,37.16
-16.5,-62.5,2024,338,36.41
-18.5,-63.5,2024,339,33.89
-18.5,-62.5,2024,339,35.2
-17.5,-63.5,2024,339,35.7
-17.5,-62.5,2024,339,35.73
-16.5,-63.5,2024,339,36.5
-16.5,-62.5,2024,339,35.82
-18.5,-63.5,2024,340,34.88
-18.5,-62.5,2024,340,36.81
-17.5,-63.5,2024,340,36.99
-17.5,-62.5,2024,340,37.22
-16.5,-63.5,2024,340,37.38
-16.5,-62.5,2024,340,36.9
-18.5,-63.5,2024,341,34.5
-18.5,-62.5,2024,341,37.39
-17.5,-63.5,2024,341,37.44
-17.5,-62.5,2024,341,37.62
-16.5,-63.5,2024,341,37.71
-16.5,-62.5,2024,341,37.02
-18.5,-63.5,2024,342,34.75
-18.5,-62.5,2024,342,36.64
-17.5,-63.5,2024,342,36.98
-17.5,-62.5,2024,342,36.93
-16.5,-63.5,2024,342,37.07
-16.5,-62.5,2024,342,36.65
-18.5,-63.5,2024,343,34.37
-18.5,-62.5,2024,343,36.54
-17.5,-63.5,2024,343,36.86
-17.5,-62.5,2024,343,36.9
-16.5,-63.5,2024,343,37.16
-16.5,-62.5,2024,343,36.53
-18.5,-63.5,2024,344,34.17
-18.5,-62.5,2024,344,37.12
-17.5,-63.5,2024,344,36.24
-17.5,-62.5,2024,344,36.69
-16.5,-63.5,2024,344,36.56
-16.5,-62.5,2024,344,36.1
-18.5,-63.5,2024,345,34.95
-18.5,-62.5,2024,345,37.28
-17.5,-63.5,2024,345,37.08
-17.5,-62.5,2024,345,37.19
-16.5,-63.5,2024,345,37.22
-16.5,-62.5,2024,345,37.06
-18.5,-63.5,2024,346,34.83
-18.5,-62.5,2024,346,36.62
-17.5,-63.5,2024,346,36.88
-17.5,-62.5,2024,346,36.32
-16.5,-63.5,2024,346,36.67
-16.5,-62.5,2024,346,36.08
-18.5,-63.5,2024,347,33.53
-18.5,-62.5,2024,347,36.53
-17.5,-63.5,2024,347,36.59
-17.5,-62.5,2024,347,36.8
-16.5,-63.5,2024,347,36.9
-16.5,-62.5,2024,347,36.53
-18.5,-63.5,2024,348,34.15
-18.5,-62.5,2024,348,36.72
-17.5,-63.5,2024,348,36.62
-17.5,-62.5,2024,348,36.46
-16.5,-63.5,2024,348,36.57
-16.5,-62.5,2024,348,36.14
-18.5,-63.5,2024,349,34.8
-18.5,-62.5,2024,349,36.68
-17.5,-63.5,2024,349,36.42
-17.5,-62.5,2024,349,36.56
-16.5,-63.5,2024,349,36.59
-16.5,-62.5,2024,349,36.05
-18.5,-63.5,2024,350,33.15
-18.5,-62.5,2024,350,35.72
-17.5,-63.5,2024,350,35.5
-17.5,-62.5,2024,350,36.0
-16.5,-63.5,2024,350,36.16
-16.5,-62.5,2024,350,36.0
-18.5,-63.5,2024,351,32.83
-18.5,-62.5,2024,351,35.34
-17.5,-63.5,2024,351,35.38
-17.5,-62.5,2024,351,36.36
-16.5,-63.5,2024,351,36.74
-16.5,-62.5,2024,351,36.46
-18.5,-63.5,2024,352,33.97
-18.5,-62.5,2024,352,36.07
-17.5,-63.5,2024,352,36.12
-17.5,-62.5,2024,352,36.65
-16.5,-63.5,2024,352,36.82
-16.5,-62.5,2024,352,36.0
-18.5,-63.5,2024,353,33.15
-18.5,-62.5,2024,353,36.06
-17.5,-63.5,2024,353,36.67
-17.5,-62.5,2024,353,36.24
-16.5,-63.5,2024,353,36.7
-16.5,-62.5,2024,353,35.64
-18.5,-63.5,2024,354,34.51
-18.5,-62.5,2024,354,36.26
-17.5,-63.5,2024,354,36.71
-17.5,-62.5,2024,354,36.64
-16.5,-63.5,2024,354,36.45
-16.5,-62.5,2024,354,36.02
-18.5,-63.5,2024,355,33.16
-18.5,-62.5,2024,355,35.92
-17.5,-63.5,2024,355,36.12
-17.5,-62.5,2024,355,36.5
-16.5,-63.5,2024,355,36.85
-16.5,-62.5,2024,355,36.04
-18.5,-63.5,2024,356,34.6
-18.5,-62.5,2024,356,36.55
-17.5,-63.5,2024,356,36.85
-17.5,-62.5,2024,356,36.89
-16.5,-63.5,2024,356,36.99
-16.5,-62.5,2024,356,36.2
-18.5,-63.5,2024,357,34.35
-18.5,-62.5,2024,357,36.92
-17.5,-63.5,2024,357,36.28
-17.5,-62.5,2024,357,36.67
-16.5,-63.5,2024,357,36.64
-16.5,-62.5,2024,357,36.17
-18.5,-63.5,2024,358,33.68
-18.5,-62.5,2024,358,36.05
-17.5,-63.5,2024,358,35.89
-17.5,-62.5,2024,358,35.92
-16.5,-63.5,2024,358,36.35
-16.5,-62.5,2024,358,35.93
-18.5,-63.5,2024,359,33.45
-18.5,-62.5,2024,359,36.53
-17.5,-63.5,2024,359,36.17
-17.5,-62.5,2024,359,36.58
-16.5,-63.5,2024,359,36.14
-16.5,-62.5,2024,359,36.06
-18.5,-63.5,2024,360,30.85
-18.5,-62.5,2024,360,32.64
-17.5,-63.5,2024,360,33.63
-17.5,-62.5,2024,360,33.58
-16.5,-63.5,2024,360,34.51
-16.5,-62.5,2024,360,33.91
-18.5,-63.5,2024,361,28.99
-18.5,-62.5,2024,361,30.46
-17.5,-63.5,2024,361,30.56
-17.5,-62.5,2024,361,30.42
-16.5,-63.5,2024,361,30.9
-16.5,-62.5,2024,361,30.24
