-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-62.5,2024,309,27.77
-17.5,-63.5,2024,309,28.01
-17.5,-62.5,2024,309,27.61
-16.5,-63.5,2024,309,26.88
-16.5,-62.5,2024,309,27.06
-18.5,-63.5,2024,310,26.5
-18.5,-62.5,2024,310,26.42
-17.5,-63.5,2024,310,26.1
-17.5,-62.5,2024,310,26.25
-16.5,-63.5,2024,310,26.55
-16.5,-62.5,2024,310,26.57
-18.5,-63.5,2024,311,27.07
-18.5,-62.5,2024,311,26.72
-17.5,-63.5,2024,311,26.47
-17.5,-62.5,2024,311,26.41
-16.5,-63.5,2024,311,25.84
-16.5,-62.5,2024,311,26.71
-18.5,-63.5,2024,312,27.37
-18.5,-62.5,2024,312,27.37
-17.5,-63.5,2024,312,26.9
-17.5,-62.5,2024,312,27.19
-16.5,-63.5,2024,312,26.35
-16.5,-62.5,2024,312,26.95
-18.5,-63.5,2024,313,28.94
-18.5,-62.5,2024,313,28.27
-17.5,-63.5,2024,313,28.26
-17.5,-62.5,2024,313,28.01
-16.5,-63.5,2024,313,27.38
-16.5,-62.5,2024,313,27.6
-18.5,-63.5,2024,314,29.89
-18.5,-62.5,2024,314,29.64
-17.5,-63.5,2024,314,29.39
-17.5,-62.5,2024,314,29.48
-16.5,-63.5,2024,314,28.8
-16.5,-62.5,2024,314,29.39
-18.5,-63.5,2024,315,30.52
-18.5,-62.5,2024,315,29.95
-17.5,-63.5,2024,315,29.72
-17.5,-62.5,2024,315,29.59
-16.5,-63.5,2024,315,28.88
-16.5,-62.5,2024,315,29.32
-18.5,-63.5,2024,316,29.91
-18.5,-62.5,2024,316,29.05
-17.5,-63.5,2024,316,28.92
-17.5,-62.5,2024,316,28.7
-16.5,-63.5,2024,316,27.97
-16.5,-62.5,2024,316,28.2
-18.5,-63.5,2024,317,28.16
-18.5,-62.5,2024,317,27.81
-17.5,-63.5,2024,317,27.71
-17.5,-62.5,2024,317,27.42
-16.5,-63.5,2024,317,27.24
-16.5,-62.5,2024,317,27.61
-18.5,-63.5,2024,318,29.73
-18.5,-62.5,2024,318,29.12
-17.5,-63.5,2024,318,29.02
-17.5,-62.5,2024,318,28.65
-16.5,-63.5,2024,318,28.18
-16.5,-62.5,2024,318,28.05
-18.5,-63.5,2024,319,30.25
-18.5,-62.5,2024,319,30.02
-17.5,-63.5,2024,319,29.59
-17.5,-62.5,2024,319,29.46
-16.5,-63.5,2024,319,28.54
-16.5,-62.5,2024,319,28.67
-18.5,-63.5,2024,320,30.03
-18.5,-62.5,2024,320,29.78
-17.5,-63.5,2024,320,29.47
-17.5,-62.5,2024,320,29.3
-16.5,-63.5,2024,320,28.35
-16.5,-62.5,2024,320,28.51
-18.5,-63.5,2024,321,29.73
-18.5,-62.5,2024,321,28.43
-17.5,-63.5,2024,321,29.03
-17.5,-62.5,2024,321,28.09
-16.5,-63.5,2024,321,27.87
-16.5,-62.5,2024,321,28.21
-18.5,-63.5,2024,322,28.68
-18.5,-62.5,2024,322,27.7
-17.5,-63.5,2024,322,28.09
-17.5,-62.5,2024,322,27.39
-16.5,-63.5,2024,322,27.37
-16.5,-62.5,2024,322,28.2
-18.5,-63.5,2024,323,27.61
-18.5,-62.5,2024,323,28.09
-17.5,-63.5,2024,323,26.98
-17.5,-62.5,2024,323,27.76
-16.5,-63.5,2024,323,27.19
-16.5,-62.5,2024,323,28.03
-18.5,-63.5,2024,324,28.01
-18.5,-62.5,2024,324,27.86
-17.5,-63.5,2024,324,27.45
-17.5,-62.5,2024,324,27.56
-16.5,-63.5,2024,324,27.96
-16.5,-62.5,2024,324,27.99
-18.5,-63.5,2024,325,27.34
-18.5,-62.5,2024,325,27.03
-17.5,-63.5,2024,325,26.79
-17.5,-62.5,2024,325,26.8
-16.5,-63.5,2024,325,27.34
-16.5,-62.5,2024,325,27.87
-18.5,-63.5,2024,326,27.35
-18.5,-62.5,2024,326,26.91
-17.5,-63.5,2024,326,26.83
-17.5,-62.5,2024,326,26.62
-16.5,-63.5,2024,326,27.02
-16.5,-62.5,2024,326,27.61
-18.5,-63.5,2024,327,28.62
-18.5,-62.5,2024,327,27.72
-17.5,-63.5,2024,327,27.98
-17.5,-62.5,2024,327,27.39
-16.5,-63.5,2024,327,27.32
-16.5,-62.5,2024,327,27.77
-18.5,-63.5,2024,328,28.97
-18.5,-62.5,2024,328,28.02
-17.5,-63.5,2024,328,28.24
-17.5,-62.5,2024,328,27.67
-16.5,-63.5,2024,328,27.64
-16.5,-62.5,2024,328,27.53
-18.5,-63.5,2024,329,29.75
-18.5,-62.5,2024,329,28.7
-17.5,-63.5,2024,329,28.89
-17.5,-62.5,2024,329,28.3
-16.5,-63.5,2024,329,28.07
-16.5,-62.5,2024,329,27.9
-18.5,-63.5,2024,330,30.03
-18.5,-62.5,2024,330,29.35
-17.5,-63.5,2024,330,29.23
-17.5,-62.5,2024,330,28.91
-16.5,-63.5,2024,330,28.68
-16.5,-62.5,2024,330,28.81
