-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-16.35,-62.23,2024,332,-999.0
-18.73,-64.3,2024,333,-999.0
-18.73,-62.23,2024,333,-999.0
-16.35,-64.3,2024,333,-999.0
-16.35,-62.23,2024,333,-999.0
-18.73,-64.3,2024,334,-999.0
-18.73,-62.23,2024,334,-999.0
-16.35,-64.3,2024,334,-999.0
-16.35,-62.23,2024,334,-999.0
-18.73,-64.3,2024,335,-999.0
-18.73,-62.23,2024,335,-999.0
-16.35,-64.3,2024,335,-999.0
-16.35,-62.23,2024,335,-999.0
-18.73,-64.3,2024,336,-999.0
-18.73,-62.23,2024,336,-999.0
-16.35,-64.3,2024,336,-999.0
-16.35,-62.23,2024,336,-999.0
-18.73,-64.3,2024,337,-999.0
-18.73,-62.23,2024,337,-999.0
-16.35,-64.3,2024,337,-999.0
-16.35,-62.23,2024,337,-999.0
-18.73,-64.3,2024,338,-999.0
-18.73,-62.23,2024,338,-999.0
-16.35,-64.3,2024,338,-999.0
-16.35,-62.23,2024,338,-999.0
-18.73,-64.3,2024,339,-999.0
-18.73,-62.23,2024,339,-999.0
-16.35,-64.3,2024,339,-999.0
-16.35,-62.23,2024,339,-999.0
-18.73,-64.3,2024,340,-999.0
-18.73,-62.23,2024,340,-999.0
-16.35,-64.3,2024,340,-999.0
-16.35,-62.23,2024,340,-999.0
-18.73,-64.3,2024,341,-999.0
-18.73,-62.23,2024,341,-999.0
-16.35,-64.3,2024,341,-999.0
-16.35,-62.23,2024,341,-999.0
-18.73,-64.3,2024,342,-999.0
-18.73,-62.23,2024,342,-999.0
-16.35,-64.3,2024,342,-999.0
-16.35,-62.23,2024,342,-999.0
-18.73,-64.3,2024,343,-999.0
-18.73,-62.23,2024,343,-999.0
-16.35,-64.3,2024,343,-999.0
-16.35,-62.23,2024,343,-999.0
-18.73,-64.3,2024,344,-999.0
-18.73,-62.23,2024,344,-999.0
-16.35,-64.3,2024,344,-999.0
-16.35,-62.23,2024,344,-999.0
-18.73,-64.3,2024,345,-999.0
-18.73,-62.23,2024,345,-999.0
-16.35,-64.3,2024,345,-999.0
-16.35,-62.23,2024,345,-999.0
-18.73,-64.3,2024,346,-999.0
-18.73,-62.23,2024,346,-999.0
-16.35,-64.3,2024,346,-999.0
-16.35,-62.23,2024,346,-999.0
-18.73,-64.3,2024,347,-999.0
-18.73,-62.23,2024,347,-999.0
-16.35,-64.3,2024,347,-999.0
-16.35,-62.23,2024,347,-999.0
-18.73,-64.3,2024,348,-999.0
-18.73,-62.23,2024,348,-999.0
-16.35,-64.3,2024,348,-999.0
-16.35,-62.23,2024,348,-999.0
-18.73,-64.3,2024,349,-999.0
-18.73,-62.23,2024,349,-999.0
-16.35,-64.3,2024,349,-999.0
-16.35,-62.23,2024,349,-999.0
-18.73,-64.3,2024,350,-999.0
-18.73,-62.23,2024,350,-999.0
-16.35,-64.3,2024,350,-999.0
-16.35,-62.23,2024,350,-999.0
-18.73,-64.3,2024,351,-999.0
-18.73,-62.23,2024,351,-999.0
-16.35,-64.3,2024,351,-999.0
-16.35,-62.23,2024,351,-999.0
-18.73,-64.3,2024,352,-999.0
-18.73,-62.23,2024,352,-999.0
-16.35,-64.3,2024,352,-999.0
-16.35,-62.23,2024,352,-999.0
-18.73,-64.3,2024,353,-999.0
-18.73,-62.23,2024,353,-999.0
-16.35,-64.3,2024,353,-999.0
-16.35,-62.23,2024,353,-999.0
-18.73,-64.3,2024,354,-999.0
-18.73,-62.23,2024,354,-999.0
-16.35,-64.3,2024,354,-999.0
-16.35,-62.23,2024,354,-999.0
-18.73,-64.3,2024,355,-999.0
-18.73,-62.23,2024,355,-999.0
-16.35,-64.3,2024,355,-999.0
-16.35,-62.23,2024,355,-999.0
-18.73,-64.3,2024,356,-999.0
-18.73,-62.23,2024,356,-999.0
-16.35,-64.3,2024,356,-999.0
-16.35,-62.23,2024,356,-999.0
-18.73,-64.3,2024,357,-999.0
-18.73,-62.23,2024,357,-999.0
