-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-17.5,-63.5,2023,319,26.71
-17.5,-62.5,2023,319,25.77
-16.5,-63.5,2023,319,25.02
-16.5,-62.5,2023,319,25.33
-18.5,-63.5,2023,320,27.19
-18.5,-62.5,2023,320,25.92
-17.5,-63.5,2023,320,26.75
-17.5,-62.5,2023,320,25.88
-16.5,-63.5,2023,320,25.48
-16.5,-62.5,2023,320,24.78
-18.5,-63.5,2023,321,26.4
-18.5,-62.5,2023,321,24.45
-17.5,-63.5,2023,321,26.08
-17.5,-62.5,2023,321,24.51
-16.5,-63.5,2023,321,24.65
-16.5,-62.5,2023,321,23.29
-18.5,-63.5,2023,322,28.81
-18.5,-62.5,2023,322,23.64
-17.5,-63.5,2023,322,28.22
-17.5,-62.5,2023,322,23.42
-16.5,-63.5,2023,322,25.29
-16.5,-62.5,2023,322,22.31
-18.5,-63.5,2023,323,26.54
-18.5,-62.5,2023,323,22.77
-17.5,-63.5,2023,323,26.19
-17.5,-62.5,2023,323,22.62
-16.5,-63.5,2023,323,24.76
-16.5,-62.5,2023,323,22.81
-18.5,-63.5,2023,324,22.55
-18.5,-62.5,2023,324,21.76
-17.5,-63.5,2023,324,22.29
-17.5,-62.5,2023,324,21.63
-16.5,-63.5,2023,324,22.84
-16.5,-62.5,2023,324,21.34
-18.5,-63.5,2023,325,25.56
-18.5,-62.5,2023,325,23.14
-17.5,-63.5,2023,325,25.24
-17.5,-62.5,2023,325,23.14
-16.5,-63.5,2023,325,24.92
-16.5,-62.5,2023,325,24.19
-18.5,-63.5,2023,326,27.85
-18.5,-62.5,2023,326,25.93
-17.5,-63.5,2023,326,27.52
-17.5,-62.5,2023,326,25.89
-16.5,-63.5,2023,326,26.86
-16.5,-62.5,2023,326,26.09
-18.5,-63.5,2023,327,26.59
-18.5,-62.5,2023,327,25.44
-17.5,-63.5,2023,327,26.07
-17.5,-62.5,2023,327,25.24
-16.5,-63.5,2023,327,26.25
-16.5,-62.5,2023,327,26.35
-18.5,-63.5,2023,328,25.36
-18.5,-62.5,2023,328,25.51
-17.5,-63.5,2023,328,24.87
-17.5,-62.5,2023,328,25.07
-16.5,-63.5,2023,328,25.47
-16.5,-62.5,2023,328,25.9
-18.5,-63.5,2023,329,27.57
-18.5,-62.5,2023,329,27.72
-17.5,-63.5,2023,329,27.09
-17.5,-62.5,2023,329,27.4
-16.5,-63.5,2023,329,27.29
-16.5,-62.5,2023,329,27.65
-18.5,-63.5,2023,330,28.91
-18.5,-62.5,2023,330,28.27
-17.5,-63.5,2023,330,28.23
-17.5,-62.5,2023,330,27.95
-16.5,-63.5,2023,330,27.75
-16.5,-62.5,2023,330,27.33
-18.5,-63.5,2023,331,28.63
-18.5,-62.5,2023,331,27.52
-17.5,-63.5,2023,331,28.1
-17.5,-62.5,2023,331,27.2
-16.5,-63.5,2023,331,26.82
-16.5,-62.5,2023,331,27.27
-18.5,-63.5,2023,332,29.44
-18.5,-62.5,2023,332,28.12
-17.5,-63.5,2023,332,28.79
-17.5,-62.5,2023,332,27.84
-16.5,-63.5,2023,332,27.1
-16.5,-62.5,2023,332,27.47
-18.5,-63.5,2023,333,29.72
-18.5,-62.5,2023,333,28.29
-17.5,-63.5,2023,333,28.81
-17.5,-62.5,2023,333,27.92
-16.5,-63.5,2023,333,27.34
-16.5,-62.5,2023,333,27.77
-18.5,-63.5,2023,334,29.09
-18.5,-62.5,2023,334,28.24
-17.5,-63.5,2023,334,28.43
-17.5,-62.5,2023,334,27.88
-16.5,-63.5,2023,334,27.71
-16.5,-62.5,2023,334,27.81
-18.5,-63.5,2023,335,29.31
-18.5,-62.5,2023,335,28.66
-17.5,-63.5,2023,335,28.64
-17.5,-62.5,2023,335,28.25
-16.5,-63.5,2023,335,27.57
-16.5,-62.5,2023,335,28.44
-18.5,-63.5,2023,336,29.66
-18.5,-62.5,2023,336,29.34
-17.5,-63.5,2023,336,29.1
-17.5,-62.5,2023,336,28.93
-16.5,-63.5,2023,336,28.14
-16.5,-62.5,2023,336,28.5
-18.5,-63.5,2023,337,29.33
-18.5,-62.5,2023,337,28.63
-17.5,-63.5,2023,337,28.8
-17.5,-62.5,2023,337,28.25
-16.5,-63.5,2023,337,27.88
-16.5,-62.5,2023,337,27.97
-18.5,-63.5,2023,338,28.74
-18.5,-62.5,2023,338,27.38
-17.5,-63.5,2023,338,28.07
-17.5,-62.5,2023,338,26.89
-16.5,-63.5,2023,338,27.01
-16.5,-62.5,2023,338,27.52
-18.5,-63.5,2023,339,28.81
-18.5,-62.5,2023,339,27.98
-17.5,-63.5,2023,339,28.2
-17.5,-62.5,2023,339,27.51
-16.5,-63.5,2023,339,27.65
-16.5,-62.5,2023,339,28.07
-18.5,-63.5,2023,340,29.34
-18.5,-62.5,2023,340,29.01
-17.5,-63.5,2023,340,28.66
-17.5,-62.5,2023,340,28.49
-16.5,-63.5,2023,340,28.17
-16.5,-62.5,2023,340,28.19
-18.5,-63.5,2023,341,29.01
-18.5,-62.5,2023,341,28.77
-17.5,-63.5,2023,341,28.39
-17.5,-62.5,2023,341,28.24
-16.5,-63.5,2023,341,28.28
-16.5,-62.5,2023,341,28.97
-18.5,-63.5,2023,342,29.36
-18.5,-62.5,2023,342,29.06
-17.5,-63.5,2023,342,28.78
-17.5,-62.5,2023,342,28.57
-16.5,-63.5,2023,342,28.31
-16.5,-62.5,2023,342,28.49
