-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-16.5,-63.5,2023,328,5.88
-16.5,-62.5,2023,328,3.96
-18.5,-63.5,2023,329,12.13
-18.5,-62.5,2023,329,13.07
-17.5,-63.5,2023,329,13.99
-17.5,-62.5,2023,329,14.84
-16.5,-63.5,2023,329,14.67
-16.5,-62.5,2023,329,12.47
-18.5,-63.5,2023,330,20.8
-18.5,-62.5,2023,330,21.74
-17.5,-63.5,2023,330,22.22
-17.5,-62.5,2023,330,21.36
-16.5,-63.5,2023,330,18.64
-16.5,-62.5,2023,330,18.61
-18.5,-63.5,2023,331,19.88
-18.5,-62.5,2023,331,19.2
-17.5,-63.5,2023,331,15.16
-17.5,-62.5,2023,331,21.38
-16.5,-63.5,2023,331,20.06
-16.5,-62.5,2023,331,21.17
-18.5,-63.5,2023,332,27.06
-18.5,-62.5,2023,332,25.81
-17.5,-63.5,2023,332,20.38
-17.5,-62.5,2023,332,25.01
-16.5,-63.5,2023,332,20.38
-16.5,-62.5,2023,332,23.8
-18.5,-63.5,2023,333,28.35
-18.5,-62.5,2023,333,26.61
-17.5,-63.5,2023,333,24.62
-17.5,-62.5,2023,333,26.45
-16.5,-63.5,2023,333,23.4
-16.5,-62.5,2023,333,22.86
-18.5,-63.5,2023,334,18.75
-18.5,-62.5,2023,334,20.49
-17.5,-63.5,2023,334,24.29
-17.5,-62.5,2023,334,21.64
-16.5,-63.5,2023,334,22.59
-16.5,-62.5,2023,334,19.29
-18.5,-63.5,2023,335,27.24
-18.5,-62.5,2023,335,24.63
-17.5,-63.5,2023,335,22.16
-17.5,-62.5,2023,335,23.11
-16.5,-63.5,2023,335,23.19
-16.5,-62.5,2023,335,23.35
-18.5,-63.5,2023,336,26.9
-18.5,-62.5,2023,336,28.26
-17.5,-63.5,2023,336,24.98
-17.5,-62.5,2023,336,26.74
-16.5,-63.5,2023,336,25.04
-16.5,-62.5,2023,336,26.0
-18.5,-63.5,2023,337,22.77
-18.5,-62.5,2023,337,25.29
-17.5,-63.5,2023,337,22.65
-17.5,-62.5,2023,337,22.68
-16.5,-63.5,2023,337,16.74
-16.5,-62.5,2023,337,18.28
-18.5,-63.5,2023,338,11.54
-18.5,-62.5,2023,338,13.79
-17.5,-63.5,2023,338,11.84
-17.5,-62.5,2023,338,14.35
-16.5,-63.5,2023,338,13.85
-16.5,-62.5,2023,338,11.06
-18.5,-63.5,2023,339,16.36
-18.5,-62.5,2023,339,18.17
-17.5,-63.5,2023,339,14.69
-17.5,-62.5,2023,339,16.92
-16.5,-63.5,2023,339,16.3
-16.5,-62.5,2023,339,14.79
-18.5,-63.5,2023,340,24.06
-18.5,-62.5,2023,340,25.83
-17.5,-63.5,2023,340,22.57
-17.5,-62.5,2023,340,24.03
-16.5,-63.5,2023,340,24.83
-16.5,-62.5,2023,340,23.82
-18.5,-63.5,2023,341,17.39
-18.5,-62.5,2023,341,21.77
-17.5,-63.5,2023,341,22.15
-17.5,-62.5,2023,341,21.97
-16.5,-63.5,2023,341,23.61
-16.5,-62.5,2023,341,24.79
-18.5,-63.5,2023,342,19.05
-18.5,-62.5,2023,342,18.26
-17.5,-63.5,2023,342,18.44
-17.5,-62.5,2023,342,17.22
