-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-18.5,-62.5,2023,291,24.93
-18.0,-63.75,2023,291,20.1
-18.0,-63.125,2023,291,24.04
-18.0,-62.5,2023,291,25.15
-17.5,-63.75,2023,291,24.1
-17.5,-63.125,2023,291,25.13
-17.5,-62.5,2023,291,25.41
-17.0,-63.75,2023,291,25.31
-17.0,-63.125,2023,291,25.69
-17.0,-62.5,2023,291,25.42
-16.5,-63.75,2023,291,25.58
-16.5,-63.125,2023,291,25.66
-16.5,-62.5,2023,291,25.04
-18.5,-63.75,2023,292,19.0
-18.5,-63.125,2023,292,24.28
-18.5,-62.5,2023,292,25.27
-18.0,-63.75,2023,292,20.32
-18.0,-63.125,2023,292,24.44
-18.0,-62.5,2023,292,25.41
-17.5,-63.75,2023,292,24.2
-17.5,-63.125,2023,292,25.43
-17.5,-62.5,2023,292,25.54
-17.0,-63.75,2023,292,25.65
-17.0,-63.125,2023,292,25.86
-17.0,-62.5,2023,292,25.44
-16.5,-63.75,2023,292,26.02
-16.5,-63.125,2023,292,25.81
-16.5,-62.5,2023,292,25.22
-18.5,-63.75,2023,293,19.3
-18.5,-63.125,2023,293,24.12
-18.5,-62.5,2023,293,24.66
-18.0,-63.75,2023,293,20.42
-18.0,-63.125,2023,293,24.1
-18.0,-62.5,2023,293,24.71
-17.5,-63.75,2023,293,24.15
-17.5,-63.125,2023,293,24.99
-17.5,-62.5,2023,293,24.75
-17.0,-63.75,2023,293,25.4
-17.0,-63.125,2023,293,25.27
-17.0,-62.5,2023,293,24.57
-16.5,-63.75,2023,293,25.77
-16.5,-63.125,2023,293,25.14
-16.5,-62.5,2023,293,24.23
-18.5,-63.75,2023,294,19.17
-18.5,-63.125,2023,294,24.03
-18.5,-62.5,2023,294,24.57
-18.0,-63.75,2023,294,20.24
-18.0,-63.125,2023,294,23.99
-18.0,-62.5,2023,294,24.53
-17.5,-63.75,2023,294,23.97
-17.5,-63.125,2023,294,24.61
-17.5,-62.5,2023,294,24.5
-17.0,-63.75,2023,294,25.27
-17.0,-63.125,2023,294,24.89
-17.0,-62.5,2023,294,24.69
-16.5,-63.75,2023,294,25.32
-16.5,-63.125,2023,294,25.11
-16.5,-62.5,2023,294,24.83
-18.5,-63.75,2023,295,18.75
-18.5,-63.125,2023,295,23.81
-18.5,-62.5,2023,295,25.48
-18.0,-63.75,2023,295,19.74
-18.0,-63.125,2023,295,24.02
-18.0,-62.5,2023,295,25.81
