-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-17.5,-62.5,2023,332,11.62
-16.5,-63.5,2023,332,9.57
-16.5,-62.5,2023,332,11.12
-18.5,-63.5,2023,333,12.92
-18.5,-62.5,2023,333,12.45
-17.5,-63.5,2023,333,11.5
-17.5,-62.5,2023,333,12.31
-16.5,-63.5,2023,333,10.97
-16.5,-62.5,2023,333,10.69
-18.5,-63.5,2023,334,8.75
-18.5,-62.5,2023,334,9.86
-17.5,-63.5,2023,334,11.36
-17.5,-62.5,2023,334,10.09
-16.5,-63.5,2023,334,10.64
-16.5,-62.5,2023,334,9.06
-18.5,-63.5,2023,335,12.61
-18.5,-62.5,2023,335,11.75
-17.5,-63.5,2023,335,10.47
-17.5,-62.5,2023,335,10.87
-16.5,-63.5,2023,335,10.94
-16.5,-62.5,2023,335,11.01
-18.5,-63.5,2023,336,12.48
-18.5,-62.5,2023,336,13.25
-17.5,-63.5,2023,336,11.7
-17.5,-62.5,2023,336,12.48
-16.5,-63.5,2023,336,11.74
-16.5,-62.5,2023,336,12.14
-18.5,-63.5,2023,337,10.59
-18.5,-62.5,2023,337,12.07
-17.5,-63.5,2023,337,10.61
-17.5,-62.5,2023,337,10.67
-16.5,-63.5,2023,337,7.95
-16.5,-62.5,2023,337,8.62
-18.5,-63.5,2023,338,5.49
-18.5,-62.5,2023,338,6.91
-17.5,-63.5,2023,338,5.69
-17.5,-62.5,2023,338,6.76
-16.5,-63.5,2023,338,6.58
-16.5,-62.5,2023,338,5.33
-18.5,-63.5,2023,339,7.66
-18.5,-62.5,2023,339,8.89
-17.5,-63.5,2023,339,7.02
-17.5,-62.5,2023,339,8.03
-16.5,-63.5,2023,339,7.83
-16.5,-62.5,2023,339,7.16
-18.5,-63.5,2023,340,11.2
-18.5,-62.5,2023,340,12.34
-17.5,-63.5,2023,340,10.68
-17.5,-62.5,2023,340,11.35
-16.5,-63.5,2023,340,11.75
-16.5,-62.5,2023,340,11.22
-18.5,-63.5,2023,341,8.12
-18.5,-62.5,2023,341,10.59
-17.5,-63.5,2023,341,10.37
-17.5,-62.5,2023,341,10.33
-16.5,-63.5,2023,341,11.17
-16.5,-62.5,2023,341,11.74
-18.5,-63.5,2023,342,8.83
-18.5,-62.5,2023,342,9.07
-17.5,-63.5,2023,342,8.58
-17.5,-62.5,2023,342,8.09
-16.5,-63.5,2023,342,7.19
-16.5,-62.5,2023,342,6.77
-18.5,-63.5,2023,343,13.32
-18.5,-62.5,2023,343,13.4
-17.5,-63.5,2023,343,12.7
-17.5,-62.5,2023,343,13.13
-16.5,-63.5,2023,343,12.7
-16.5,-62.5,2023,343,12.97
-18.5,-63.5,2023,344,9.11
-18.5,-62.5,2023,344,11.28
-17.5,-63.5,2023,344,11.82
-17.5,-62.5,2023,344,11.38
-16.5,-63.5,2023,344,12.23
-16.5,-62.5,2023,344,11.65
-18.5,-63.5,2023,345,10.99
-18.5,-62.5,2023,345,10.76
-17.5,-63.5,2023,345,10.96
-17.5,-62.5,2023,345,9.07
-16.5,-63.5,2023,345,8.98
-16.5,-62.5,2023,345,8.33
-18.5,-63.5,2023,346,13.46
-18.5,-62.5,2023,346,12.75
-17.5,-63.5,2023,346,12.29
-17.5,-62.5,2023,346,11.11
-16.5,-63.5,2023,346,11.26
-16.5,-62.5,2023,346,10.06
-18.5,-63.5,2023,347,11.77
-18.5,-62.5,2023,347,12.09
-17.5,-63.5,2023,347,10.5
-17.5,-62.5,2023,347,11.66
-16.5,-63.5,2023,347,10.72
-16.5,-62.5,2023,347,11.57
-18.5,-63.5,2023,348,10.28
-18.5,-62.5,2023,348,10.99
-17.5,-63.5,2023,348,9.11
-17.5,-62.5,2023,348,10.2
-16.5,-63.5,2023,348,8.69
-16.5,-62.5,2023,348,10.31
-18.5,-63.5,2023,349,10.17
-18.5,-62.5,2023,349,9.57
-17.5,-63.5,2023,349,8.68
-17.5,-62.5,2023,349,8.36
-16.5,-63.5,2023,349,7.09
-16.5,-62.5,2023,349,8.64
-18.5,-63.5,2023,350,12.22
-18.5,-62.5,2023,350,11.64
-17.5,-63.5,2023,350,10.5
-17.5,-62.5,2023,350,10.68
-16.5,-63.5,2023,350,9.85
-16.5,-62.5,2023,350,11.03
-18.5,-63.5,2023,351,12.7
-18.5,-62.5,2023,351,12.53
-17.5,-63.5,2023,351,11.05
-17.5,-62.5,2023,351,11.62
-16.5,-63.5,2023,351,11.59
-16.5,-62.5,2023,351,11.55
-18.5,-63.5,2023,352,11.13
-18.5,-62.5,2023,352,12.47
-17.5,-63.5,2023,352,10.29
-17.5,-62.5,2023,352,11.69
-16.5,-63.5,2023,352,11.94
-16.5,-62.5,2023,352,12.0
-18.5,-63.5,2023,353,5.04
-18.5,-62.5,2023,353,3.82
-17.5,-63.5,2023,353,4.52
-17.5,-62.5,2023,353,4.31
-16.5,-63.5,2023,353,7.19
-16.5,-62.5,2023,353,8.37
-18.5,-63.5,2023,354,8.69
-18.5,-62.5,2023,354,10.35
-17.5,-63.5,2023,354,11.3
-17.5,-62.5,2023,354,10.31
-16.5,-63.5,2023,354,10.84
